,,,,,
Marca,Modelo,Año,País,Valor,Especificaciones
Acura,ILX,2021,USA,"13,720.00",SERIE: PREMIUM || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2400 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,TLX,2019,USA,"13,749.60","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,TLX,2019,JAPÓN,"13,749.60","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,Integra,2020,JAPÓN,"14,175.00",SERIE: Base || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 1500 || PASAJEROS: 4 || PUERTAS: 4 || TRACCION: FWD ||
Acura,ILX,2022,USA,"14,217.50","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,ILX,2022,JAPÓN,"14,217.50","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,ILX,2022,JAPÓN,"14,217.50","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,400 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,ILX,2022,USA,"14,217.50",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2400 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,TLX,2019,USA,"14,507.20","SERIE: SH-AWD || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,ILX,2021,USA,"14,649.00",SERIE: PREMIUM TECH || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2400 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,Integra,2020,JAPÓN,"15,075.00",SERIE: A-Spec || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 1500 || PASAJEROS: 4 || PUERTAS: 4 || TRACCION: FWD ||
Acura,ILX,2022,USA,"15,092.00",SERIE: PREMIUM || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2400 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,TLX,2020,USA,"15,468.30","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,TLX,2020,JAPÓN,"15,468.30","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,Integra,2021,JAPÓN,"15,750.00",SERIE: Base || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 1500 || PASAJEROS: 4 || PUERTAS: 4 || TRACCION: FWD ||
Acura,TLX,2019,USA,"15,860.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,400 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,TLX,2019,JAPÓN,"15,860.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,400 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,TLX,2019,USA,"15,860.00",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,TLX,2019,JAPÓN,"15,860.00",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,ILX,2022,USA,"16,113.90",SERIE: PREMIUM TECH || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2400 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,TLX,2020,USA,"16,320.60","SERIE: SH-AWD || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,RDX,2019,USA,"16,540.00",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,Integra,2021,JAPÓN,"16,750.00",SERIE: A-Spec || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 1500 || PASAJEROS: 4 || PUERTAS: 4 || TRACCION: FWD ||
Acura,Integra,2022,JAPÓN,"17,325.00",SERIE: Base || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 1500 || PASAJEROS: 4 || PUERTAS: 4 || TRACCION: FWD ||
Acura,RDX,2019,USA,"17,620.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,RDX,2019,USA,"17,620.00",SERIE: SH-AWD || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,TLX,2020,USA,"17,842.50","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,400 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,TLX,2020,JAPÓN,"17,842.50","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,400 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,TLX,2020,USA,"17,842.50",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,TLX,2020,JAPÓN,"17,842.50",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,Integra,2022,JAPÓN,"18,425.00",SERIE: A-Spec || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 1500 || PASAJEROS: 4 || PUERTAS: 4 || TRACCION: FWD ||
Acura,RDX,2019,USA,"18,480.00",SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,RDX,2020,USA,"18,607.50",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,RDX,2019,USA,"18,680.00",SERIE: TECHNOLOGY || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,RDX,2019,USA,"18,680.00",SERIE: TECHNOLOGY || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,RDX,2019,USA,"18,800.00",SERIE: A-SPEC || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,Integra,2023,JAPÓN,"18,900.00",SERIE: Base || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 1500 || PASAJEROS: 4 || PUERTAS: 4 || TRACCION: FWD ||
Acura,TLX,2019,USA,"19,440.00",SERIE: A-SPEC || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,RDX,2020,USA,"19,822.50","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,RDX,2020,USA,"19,822.50",SERIE: SH-AWD || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,TLX,2021,USA,"19,825.00",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,TLX,2021,JAPÓN,"19,825.00",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,RDX,2019,USA,"19,880.00",SERIE: A-SPEC || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,MDX,2019,CANADÁ,"19,940.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,MDX,2019,USA,"19,940.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,Integra,2023,JAPÓN,"20,100.00",SERIE: A-Spec || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 1500 || PASAJEROS: 4 || PUERTAS: 4 || TRACCION: FWD ||
Acura,Integra,2019,JAPÓN,"20,320.00",SERIE: Type S || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 1500 || PASAJEROS: 4 || PUERTAS: 4 || TRACCION: FWD ||
Acura,TLX,2019,USA,"20,340.00",SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,MDX,2019,CANADÁ,"20,500.00","SERIE: SH AWD || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,MDX,2019,USA,"20,500.00",SERIE: SH AWD || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD ||
Acura,RDX,2021,USA,"20,675.00",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,RDX,2019,USA,"20,740.00",SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,RDX,2020,USA,"20,790.00",SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,MDX,2019,CANADÁ,"20,820.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,MDX,2019,USA,"20,820.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,RDX,2020,USA,"21,015.00",SERIE: TECHNOLOGY || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,RDX,2020,USA,"21,015.00",SERIE: TECHNOLOGY || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,MDX,2019,CANADÁ,"21,075.60","SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 6 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,MDX,2019,USA,"21,075.60","SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 6 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,RDX,2020,USA,"21,150.00",SERIE: A-SPEC || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,TLX,2022,USA,"21,807.50",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,TLX,2022,JAPÓN,"21,807.50",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,MDX,2019,USA,"21,820.00",SERIE: TECNOLOGY || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: FWD ||
Acura,TLX,2020,USA,"21,870.00",SERIE: A-SPEC || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,RLX,2019,JAPÓN,"21,960.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,RLX,2019,USA,"21,960.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,RDX,2021,USA,"22,025.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,RDX,2021,USA,"22,025.00",SERIE: SH-AWD || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,TLX,2019,USA,"22,140.00",SERIE: Type S || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,RDX,2020,USA,"22,365.00",SERIE: A-SPEC || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,MDX,2020,CANADÁ,"22,432.50","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,MDX,2020,USA,"22,432.50","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,MDX,2019,USA,"22,700.00","SERIE: SH-AWD TECHNOLOGY || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,RDX,2022,USA,"22,742.50",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,Integra,2020,JAPÓN,"22,860.00",SERIE: Type S || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 1500 || PASAJEROS: 4 || PUERTAS: 4 || TRACCION: FWD ||
Acura,TLX,2020,USA,"22,882.50",SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,MDX,2020,CANADÁ,"23,062.50","SERIE: SH AWD || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,MDX,2020,USA,"23,062.50",SERIE: SH AWD || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD ||
Acura,RDX,2021,USA,"23,100.00",SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,RDX,2020,USA,"23,332.50",SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,RDX,2021,USA,"23,350.00",SERIE: TECHNOLOGY || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,RDX,2021,USA,"23,350.00",SERIE: TECHNOLOGY || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,MDX,2020,CANADÁ,"23,422.50","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,MDX,2020,USA,"23,422.50","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,RDX,2021,USA,"23,500.00",SERIE: A-SPEC || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,MDX,2020,CANADÁ,"23,710.05","SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 6 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,MDX,2020,USA,"23,710.05","SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 6 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,MDX,2019,USA,"23,780.00",SERIE: SH AWD A-SPEC || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD ||
Acura,TLX,2023,USA,"23,790.00",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,TLX,2023,JAPÓN,"23,790.00",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,RDX,2022,USA,"24,227.50","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,RDX,2022,USA,"24,227.50",SERIE: SH-AWD || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,TLX,2021,USA,"24,300.00",SERIE: A-SPEC || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,MDX,2020,USA,"24,547.50",SERIE: TECNOLOGY || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: FWD ||
Acura,RLX,2020,JAPÓN,"24,705.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,RLX,2020,USA,"24,705.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,RLX,2019,CANADÁ,"24,760.00","SERIE: SH-AWD || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,RDX,2023,USA,"24,810.00",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,RDX,2021,USA,"24,850.00",SERIE: A-SPEC || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,TLX,2020,USA,"24,907.50",SERIE: Type S || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,MDX,2021,CANADÁ,"24,925.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,MDX,2021,USA,"24,925.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,MDX,2019,CANADÁ,"25,200.00","SERIE: SH AWD ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 6 || PUERTAS: 4 || TRACCION: 4WD ||"
Acura,Integra,2021,JAPÓN,"25,400.00",SERIE: Type S || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 1500 || PASAJEROS: 4 || PUERTAS: 4 || TRACCION: FWD ||
Acura,TLX,2021,USA,"25,425.00",SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,MDX,2019,USA,"25,520.00",SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: 4WD ||
Acura,MDX,2020,USA,"25,537.50","SERIE: SH-AWD TECHNOLOGY || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,MDX,2021,CANADÁ,"25,625.00","SERIE: SH AWD || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD ||"
Acura,MDX,2021,USA,"25,625.00",SERIE: SH AWD || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD ||
Acura,RDX,2022,USA,"25,685.00",SERIE: TECHNOLOGY || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,RDX,2022,USA,"25,685.00",SERIE: TECHNOLOGY || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,RDX,2022,USA,"25,850.00",SERIE: A-SPEC || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,RDX,2021,USA,"25,925.00",SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,MDX,2021,CANADÁ,"26,025.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3,500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD ||"
